"name","phone","website","rating","reviews","query","url"
"Top Hat Roofing",,,"4.9","91","Roofing Contractor in Miami, FL","https://www.google.com/maps/place/Top+Hat+Roofing/data=!4m7!3m6!1s0x88d9b7a05a1f443f:0x33e3996daca9018c!8m2!3d25.7685047!4d-80.1938431!16s%2Fg%2F11y4q8_4d0!19sChIJP0QfWqC32YgRjAGprG2Z4zM?authuser=0&hl=en&rclk=1"
"A+ Roofing Contractors Miami",,,"5.0","44","Roofing Contractor in Miami, FL","https://www.google.com/maps/place/A%2B+Roofing+Contractors+Miami/data=!4m7!3m6!1s0x6ad4841337877051:0x22c8d44518b5424f!8m2!3d25.782414!4d-80.2253934!16s%2Fg%2F11t_rm__v2!19sChIJUXCHNxOE1GoRT0K1GEXUyCI?authuser=0&hl=en&rclk=1"
"MET Roofing",,,"4.9","27","Roofing Contractor in Miami, FL","https://www.google.com/maps/place/MET+Roofing/data=!4m7!3m6!1s0x88d9b143cc985f1f:0xa21df45b4f764539!8m2!3d25.8250082!4d-80.2029338!16s%2Fg%2F1tcysmpg!19sChIJH1-YzEOx2YgROUV2T1v0HaI?authuser=0&hl=en&rclk=1"
"Ultra Roof Repair Miami",,,"4.9","35","Roofing Contractor in Miami, FL","https://www.google.com/maps/place/Ultra+Roof+Repair+Miami/data=!4m7!3m6!1s0x88d9b7bd731e38a5:0x4529bb590908c197!8m2!3d25.7712953!4d-80.1897732!16s%2Fg%2F11w9_slbtz!19sChIJpTgec7232YgRl8EICVm7KUU?authuser=0&hl=en&rclk=1"
"Jireh Roofing Contractor USA, INC",,,"4.9","210","Roofing Contractor in Miami, FL","https://www.google.com/maps/place/Jireh+Roofing+Contractor+USA,+INC/data=!4m7!3m6!1s0x88d9af5f11acb661:0xa3d0cb62baf9e9aa!8m2!3d25.8829219!4d-80.2228977!16s%2Fg%2F11nssd7zv9!19sChIJYbasEV-v2YgRqun5umLL0KM?authuser=0&hl=en&rclk=1"
"Atlantic Roofing Miami",,,"4.9","41","Roofing Contractor in Miami, FL","https://www.google.com/maps/place/Atlantic+Roofing+Miami/data=!4m7!3m6!1s0x88d9b71d2baf7c81:0x437353a1d249ab22!8m2!3d25.763486!4d-80.238487!16s%2Fg%2F11y4r196ts!19sChIJgXyvKx232YgRIqtJ0qFTc0M?authuser=0&hl=en&rclk=1"
"Prestige Roof Construction",,,"5.0","11","Roofing Contractor in Miami, FL","https://www.google.com/maps/place/Prestige+Roof+Construction/data=!4m7!3m6!1s0x88d9b7fb14be4ea7:0xfe5a21e28d2d7343!8m2!3d25.798058!4d-80.227244!16s%2Fg%2F11mlxr3w9l!19sChIJp06-FPu32YgRQ3MtjeIhWv4?authuser=0&hl=en&rclk=1"
"Palma Roofing",,,"4.9","64","Roofing Contractor in Miami, FL","https://www.google.com/maps/place/Palma+Roofing/data=!4m7!3m6!1s0x88d9b7b734379b07:0xc4a57a6bbb7b2ba9!8m2!3d25.8039678!4d-80.207104!16s%2Fg%2F11ss7bwg9w!19sChIJB5s3NLe32YgRqSt7u2t6pcQ?authuser=0&hl=en&rclk=1"
"T&S Roofing Systems",,,"4.8","1,123","Roofing Contractor in Miami, FL","https://www.google.com/maps/place/T%26S+Roofing+Systems/data=!4m7!3m6!1s0x88d9b6ce1954b463:0x7bbc7eb57b20841!8m2!3d25.811203!4d-80.2389434!16s%2Fg%2F1tdp182c!19sChIJY7RUGc622YgRQQiyV-vHuwc?authuser=0&hl=en&rclk=1"
"Best Roofing Miami",,,"5.0","30","Roofing Contractor in Miami, FL","https://www.google.com/maps/place/Best+Roofing+Miami/data=!4m7!3m6!1s0x88d9b72ffaddc0bf:0xf1e7e08305aa5429!8m2!3d25.7962067!4d-80.2427432!16s%2Fg%2F11s5z8y49j!19sChIJv8Dd-i-32YgRKVSqBYPg5_E?authuser=0&hl=en&rclk=1"
